EntrepriseName,EntrepriseVille,EntrepriseTechnologie,EntrepriseContactSiteWeb,EntrepriseContactPhone,EntrepriseContactName,EntrepriseContactEmail,EntrepriseLogo,Activite,EntrepriseSecteurActivite
Prod'air,Rabat,DATA;TECHNOLOGIE WEB / MOBILE,https://prodair.ma,+212-537-207-948,GUENNOUN Omar,omarguennoun@prodair.net,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y000000X5QWQA0,"<p style=""text-align: justify;"">Prod’air conçoit et réalise des solutions technologique innovante pour des applications dans la cartographie des réseaux de distribution (électricité, eau, assainissement), le comptage d’énergie numérique et intelligent, diagnostique des réseaux d’éclairage public et le géodata management … autant de domaines pointus qui exigent le plus haut niveau de qualité.</p>",DEVELOPPEMENT INFORMATIQUE;GREEN TECH
ATRAIT TECHNOLOGIES,Casablanca,TECHNOLOGIE WEB / MOBILE,www.atrait.ma,+212-522-872-188,AZIZ LEBBADI,contact@atrait.eu,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y000000X43oQAC,<p>Conception de Solutions multicanales</p>,DEVELOPPEMENT INFORMATIQUE
xHub,Casablanca;Agadir,CLOUD;TECHNOLOGIE WEB / MOBILE,[:fr]http://www.x-hub.io/[:en]www.xhub-it.com[:ar]www.xhub-it.com[:],+212-06 60 601 061,EL HOUARI Badr,info@x-hub.io,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y000000X3oIQAS,<p>XHUB est une entreprise IT formée par des passionnées de technologie visant à utiliser leur codage agile pour résoudre les problèmes spécifiques des clients. XHUB aide ses clients et ses partenaires à progresser concrètement dans leurs projets de digitalisation en tirant parti de l&#39;expertise et des compétences en résolution de problème de ses experts.</p>,DEVELOPPEMENT INFORMATIQUE
BCLOUD Consulting,Casablanca,CLOUD;ERP / CRM;TECHNOLOGIE WEB / MOBILE,www.bcloud.ma,+212-522-872-585,YAZID BERRADA,contact@bcloud.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000y8bhQAAQ,"<p>BCLOUD CONSULTING est un cabinet de conseil orienté vers l&#39;audit organisationnel, la gouvernance, l&#39;intégration des SI et la formation professionnelle. </p><p>Nous accompagnons nos clients, en toute sécurité, dans l&#39;organisation, la restructuration et le pilotage de leurs projets stratégiques de mise en place de systèmes d&#39;Informations selon une démarche d&#39;amélioration continue orientés services et Business.</p><p>Nous proposons également à nos clients ITaaS (l&#39;IT as-a-service), dans le cadre de leur transition vers le Cloud Computing.</p>",DEVELOPPEMENT INFORMATIQUE;E-COMMERCE
ZEN NETWORKS,Casablanca,CLOUD;DATA;ERP / CRM;RESEAU ET TELECOM ET SECURITE,https://www.zen-networks.io/,+212-522-219-782,Fayçal Noushi,contact@zen-networks.io,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So000006IWxGIAW,"<p>Zen Networks est une entreprise fondée en 2017 par Mr. Fayçal NOUSHI, qui propose une gamme complète de services informatiques. L&#39;entreprise se distingue par son expertise de pointe, offrant des solutions Cloud flexibles, un monitoring proactif assurant la stabilité opérationnelle, des compétences pointues dans les réseaux mobiles, une analyse approfondie des données et l&#39;intégration de l&#39;intelligence artificielle pour optimiser les processus. </p><p><br></p><p><span style=""font-size: 11pt; font-family: Calibri, sans-serif;"">Grâce à des solutions de cybersécurité de premier plan, Zen Networks garantit à ses clients une protection robuste contre les menaces. De plus, l&#39;entreprise excelle dans la gestion externalisée grâce à son service d&#39;infogérance, assurant une performance fiable et une sécurité sans compromis dans le paysage complexe de l&#39;informatique moderne. </span></p>",DEVELOPPEMENT INFORMATIQUE;INDUSTRIE 4.0;CYBERSECURITE
CYCLAD MAROC,Casablanca,CLOUD;ERP / CRM;RESEAU ET TELECOM ET SECURITE,http://www.cyclad.fr,+212 5 20 10 08 72,Abderrahim ALLALI,abderrahim.allali@cyclad.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y0000043PttQAE,"<p><span style=""font-size: 14px;"">Cyclad is an international consulting company operating in the IT/ICT sectors, providing outsourcing solutions for HR and IT services. Cyclad is based in Poland, France &amp; Morocco.</span></p>",DEVELOPPEMENT INFORMATIQUE
Inovadex Consulting,Rabat,CLOUD;DATA;ERP / CRM,http://www.inovadex.com,+212 (0) 537200550,NAIF HOUDALI,contact@inovadex.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y0000068ngnQAA,"<p><span style=""font-size: 14px;"">INOVADEX CONSULTING est une entreprise spécialisée dans les Technologies d&#39;Informations et partenaire SAP, qui offre des solutions de gestion d’entreprises : Intégration des solutions SAP,</span></p><p><span style=""font-size: 14px;"">Business intelligence et audit et cybersécurité</span></p>",DEVELOPPEMENT INFORMATIQUE
HUMAN MARKETING CONSULTING,Rabat,TECHNOLOGIE WEB / MOBILE,https://humanmarketing.ma,0537776221,HIND ELMOUHAJIR,contact@humanmarketing.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y0000069XESQA2,"<p><span style=""font-size: 14px;"">HUMAN MARKETING CONSULTING est une agence de communication digitale disruptive , elle propose une panoplie de services tel que la Transformation digitale, la stratégie digitale, le développement web et mobile ainsi que le social média</span></p>",DEVELOPPEMENT INFORMATIQUE;MARKETING DIGITAL
OMNISHORE SARL,Casablanca,CLOUD;DATA,www.omnidata.ma,+212  0522 52 38 40 - 0522 52 11 38,Lotfi RIFFI,lriffi@omnidata.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0680Y000006qhdhQAA,,DEVELOPPEMENT INFORMATIQUE
Skylark Services,Casablanca;Agadir,DATA,www.skylark.ma,+212 6 61 93 95 63,Youness AZIZ,youness.aziz@skylark.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000wbhTYAAY,"<p><span style=""font-size: 14px;"">SKYLARK SERVICES est spécialisé dans le conseil, l&#39;accompagnement et l&#39;aide à la mise en place et l&#39;évaluation des différentes stratégies digitales. SKYLARK mobilise son savoir et son expertise pour proposer un plan de transformation digitale sur mesure à ses clients. En conseil, en Delivery ou même pour la formation, SKYLARK SERVICES trace une road map adaptée aux besoins et un accompagnement personnalisé.</span></p>",DEVELOPPEMENT INFORMATIQUE
