EntrepriseName,EntrepriseVille,EntrepriseTechnologie,EntrepriseContactSiteWeb,EntrepriseContactPhone,EntrepriseContactName,EntrepriseContactEmail,EntrepriseLogo,Activite,EntrepriseSecteurActivite
CLOUDFRET,Agadir,DATA;IA;IOT,www.cloudfret.com,06 61 32 91 35,Driss Jabar,contact@cloudfret.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000nzVbmAAE,"<p><strong style=""font-size: 14px;"">Cloudfret </strong><span style=""font-size: 14px;"">est la première solution qui lie les deux rives de la méditerranée en connectant les expéditeurs à un réseau étendu et fiable de transporteurs d’Europe et d&#39;Afrique grâce à une marketplace unique, flexible et à l&#39;ère du digital.</span></p>",E-LOGISTIQUE
Iosen tech,Tanger,IOT;TECHNOLOGIE WEB / MOBILE,https://www.sendagest.com/,0662767169,Zoubair Chaachouh,zoubair.chaachouh@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000i0WbtAAE,"<p>IOSEN TECH est une société marocaine qui propose une solution professionnelle d&#39;un système de gestion de transport, conçu pour automatiser la gestion de flotte dans une seul plateforme intégrée nommée &quot;SENDAGEST&quot;, le fruit de plusieurs innovations et recherches, qui aspire à ouvrir les portes du digital pour la logistique au Maroc.</p>",E-LOGISTIQUE
SAHAB DEV,Rabat,CLOUD;ERP / CRM;IOT;TECHNOLOGIE WEB / MOBILE,https://sahab-dev.com,0708004132,Omar BOUCHAARA,contact@sahab-dev.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000z8XH4AAM,"<p><span style=""font-size: 10.5pt;""> La société SAHAB DEV est spécialisée dans le développement des applications Web 100% Cloud, destinées principalement à l’industrie 4.0 et axées sur l’IoT (Internet des objets) , elle a développé une solution innovante sous le nom &quot;CALINDUS &quot; cette application SAAS est modulable et personnalisable selon les besoins des PME industrielles .</span></p>",DEVELOPPEMENT INFORMATIQUE;E-LOGISTIQUE;INDUSTRIE 4.0
Hany & Zen,Casablanca,CLOUD;DATA,https://kounhany.com/depannage/,0650081799,Ikram LAMRANI,contactkounhany@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000010ma1wAAA,<p>Nous sommes une plateforme digitale ayant pour but de mettre en relation les clients avec les sociétés d’assistance automobile ; garage de réparation ; fournisseurs de pièces de rechange ; société de livraison afin de fournir au client une expérience réussie en après vente automobile.</p>,E-COMMERCE;E-LOGISTIQUE
mlnetworks,Casablanca,IA,https://mlnetworks.io/,+212635019447,JAOUAD MAALOUM,jawadmaaloum@mlnetworks.io,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So000005BsOoIAK,"<p>MLNETWORKS se consacre à fournir une plateforme d&#39;intelligence artificielle (IA) spécialement conçue pour aider les Opérateurs de Réseaux Mobiles à améliorer les performances de leurs réseaux, à réduire leurs coûts opérationnels et à améliorer l&#39;expérience des utilisateurs finaux. En tirant parti de la puissance de l&#39;intelligence artificielle, nous offrons une solution unique aux défis auxquels est confrontée l&#39;industrie des télécommunications, et nous contribuons à stimuler l&#39;innovation dans ce domaine en constante évolution.</p>",DEVELOPPEMENT INFORMATIQUE;E-LOGISTIQUE
SWIFT SOURCING,Agadir,TECHNOLOGIE WEB / MOBILE,https://www.swiftsourcing.org/,0700456225,NOUZHA LABSIME,contact@swiftcompany.org,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So000003FPVqIAO,"<p><span style=""font-size: 15px;"">La particularité de </span><strong style=""font-size: 15px;"">Swift Sourcing</strong><span style=""font-size: 15px;""> réside dans notre capacité à offrir une solution complète pour les besoins en sourcing, logistique et dédouanement de nos clients. Nous nous engageons à accompagner nos clients de A à Z, en gérant efficacement toutes les étapes du processus, de la recherche de fournisseurs à la livraison des marchandises, en passant par les formalités douanières. Notre approche intégrée garantit une expérience fluide et transparente, permettant à nos clients de se concentrer sur leur activité principale tout en bénéficiant d&#39;un service fiable et professionnel.</span></p>",E-COMMERCE;E-LOGISTIQUE
AuthentiCom,Rabat,TECHNOLOGIE WEB / MOBILE,https://axyka.com/,+212661 894947,Khalid Tamraoui,tamraoui.khalid@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So000003CLVCIA4,"<p style=""text-align: justify;""><span style=""font-size: 11pt;"">AUTNEHTICOM est une entreprise qui opère dans le secteur E-LOGISTIQUE, elle a créé une plateforme web sous le nom de </span>AXYKA <span style=""font-size: 11pt;"">qui offre plusieurs fonctionnalités :</span></p><p style=""text-align: justify;""><span style=""font-size: 11pt;"">Connecter les petits vendeurs en ligne au Maroc avec des prestataires de logistique de qualité. Faciliter la collaboration entre les Sellers et les fournisseurs de services logistiques, tout en offrant des solutions innovantes pour gérer les paiements en contre-remboursement (COD) de manière plus efficace. </span></p><p style=""text-align: justify;""><span style=""font-size: 11pt;"">Aider les vendeurs marocains à étendre leurs activités à l&#39;étranger en proposant des solutions logistiques adaptées aux marchés internationaux. </span></p><p style=""text-align: justify;""> </p><p> </p>",DEVELOPPEMENT INFORMATIQUE;E-LOGISTIQUE
Société marocaine de technologie et de digitalisation,Casablanca,CLOUD;DATA;IOT,https://smatch.ma/fr/accueil/,0661616798,Tarik Zaghloul,zaghloul.tarik@smatch.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So00000LmZCHIA3,"<p>Smatch est un acteur de référence dans les des solutions IT en e-logistique. Cumulant 20 ans d&#39;expertise dans le métier de la supply chain, la société a mis à profit cette expérience dans le développement des solutions de warehouse management system et de transport management system.</p><p><br></p><p>Au delà de la supply chain, cette entité technologique  a étendu ses solutions pour les secteurs de l&#39;agritech et du tourisme. </p>",DEVELOPPEMENT INFORMATIQUE;E-LOGISTIQUE
Sirius Alpha,Tanger,ERP / CRM,https://www.marsyan.com,0669873251,Mounir Taghrghour,m.taghrghour@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So00000D98IKIAZ,"<p><strong>SIRIUS ALPHA</strong> est une startup spécialisée dans la création, la gestion et la commercialisation de solutions numériques innovantes, de plateformes, d’applications et de sites web.</p><p>Elle est également propriétaire et gestionnaire de <strong>MARSYAN</strong>, une plateforme B2B conçue pour digitaliser et automatiser les processus d&#39;achat tout en optimisant la prospection commerciale entre clients et fournisseurs.</p>",E-LOGISTIQUE
Dimacari,Casablanca,CLOUD;DATA;IA,https://www.dimacari.ma/,+212 669-371697,Ali AHERDANE,ali@dimacari.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So00000IGc3tIAD,"<p><strong style=""font-size: 14px;""><em>Dimacari</em></strong><span style=""font-size: 14px;""> est une solution digitale innovante qui modernise le secteur de la location de voitures au Maroc grâce à une double approche technologique : un SaaS B2B pour automatiser et optimiser la gestion des agences, et une marketplace B2C dotée d’une UX fluide, d’outils de recherche intelligents et de systèmes de paiement sécurisés. Porté par une infrastructure scalable, des technologies avancées (Smart SMS, cybersécurité, data-driven UX), </span><strong style=""font-size: 14px;""><em>Dimacari s’inscrit dans la vision Digital Morocco 2030 pour structurer durablement un marché encore peu digitalisé.</em></strong></p>",E-COMMERCE;E-LOGISTIQUE;E-TOURISME
