EntrepriseName,EntrepriseVille,EntrepriseTechnologie,EntrepriseContactSiteWeb,EntrepriseContactPhone,EntrepriseContactName,EntrepriseContactEmail,EntrepriseLogo,Activite,EntrepriseSecteurActivite
Positeams SARL,,CLOUD;DATA,www.positeams.com,0613688827,Samir Tamri,stamri@positeams.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000UMB19AAH,<p>Positeams est une digital startup innovante opérant dans ​le secteur de logiciels RH. Nous proposons à nos clients des solutions de pointe basées sur le machine learning et l&#39;intelligence artificielle pour leur permettre d&#39;automatiser leurs process afin de rester compétitifs</p>,HR TECH
JOB2COM,Casablanca,CLOUD;DATA,http://job2vente.ma,0663-474002,Ilham Boujlid,iboujlid@job2vente.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000QMhmvAAD,"<p>La société est spécialisé dans le développement d&#39;une p<span style=""font-size: 14px;"">lateforme de formation à distance , il s&#39;agit d&#39;un cabinet qui développe des solutions de formation et recrutement vocale pour permettre aux populations faiblement éduquées d’accéder aux plate-forme de formation et recrutement et aux entreprises d’optimiser leur processus de recrutement et de formation sur les postes de faible encadrement.</span></p>",ED TECH;HR TECH
HOUSSNIJOB,Casablanca,CLOUD;DATA;TECHNOLOGIE WEB / MOBILE,www.Houssnijob.com,0520454524,Keltoum Houssni,houssnijob@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000aZjqIAAS,"<p><span style=""font-size: 12.8px; font-family: verdana, sans-serif;"">Houssni Job est un Acteur de E-Recrutement, de Conseil en ressources humaines, en formation digitale, en Management Stratégique et en Coaching Professionnel certifié par l’académie canadienne dont l’objectif cardinal qui réside l’intégration des nouvelles technologies dans les stratégies des entreprises, opérant en Afrique dans le pilotage, l’évolution et répondant parfaitement à tous vos besoins en matière de maîtrise des ressources.</span></p>",HR TECH
HumanTech Solutions,Casablanca,ERP / CRM;IA;TECHNOLOGIE WEB / MOBILE,www.humantech.ma,0660816454,KARIM SANAA,sanaa@humantech.ma,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000y8tQCAAY,"<p>HUMAN TECH SOLUTIONS est un éditeur et intégrateur de solution de gestion des ressources humaines. Nous accompagnons nos clients dans : </p><p>- La création et l&#39;intégration de solutions digitales RH innovantes et personnalisées </p><p>- La mise en oeuvre des démarches de transformation digitales RH : AMOA, MOE, Feuilles de route RH... </p><p>- La formation et la certification des professionnels RH sur la HR Tech.</p>",HR TECH
NOWEDGE SARL,Casablanca,DATA;IA;TECHNOLOGIE WEB / MOBILE,https://www.nowedge.io,06 87 23 97 97,Youssef Jbel,contact@nowedge.io,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000yVkYdAAK,"<p><strong style=""font-size: 16px;"">NowEdge</strong> propose une plateforme SaaS de Serious Games engageants pour favoriser l&#39;expérience collaborateur et activer l’intelligence collective dans l&#39;entreprise à travers l&#39;apprentissage par l&#39;action &quot;Learning By Doing&quot;. Ces expériences d&#39;apprentissage sont ready to use et destinées aux entreprises, écoles, cabinets de formation et de recrutement.</p>",ED TECH;HR TECH
Featury Maroc,Casablanca,CLOUD;DATA,https://www.featury.io/,0033760753431,Yahya Lazraq,contact@featury.io,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v00000zcIu9AAE,"<p><span style=""font-size: 14px;"">FEATURY MAROC est une entreprise ayant développé une plateforme qui permet aux entreprises techs européennes de recruter à distance des développeurs à l’international. Featury adresse pour l’instant uniquement le marché Français et Allemand qu’elle connecte aux développeurs.</span></p><p><br></p>",HR TECH
AISHORE,Casablanca,CLOUD;IA,https://www.aishore.ai,+212661301620,Malika Ahmidouch,malika@aishore.ai,https://community.technopark.ma/sfc/servlet.shepherd/version/download/0681v000012GyRZAA0,"<p>Aishore propose aux entreprises internationales un accompagnement complet dans la création de leur Centre d’Excellence au Maroc, du conseil à l’implémentation.</p><p>En s’appuyant sur notre expérience de plus de 10 ans dans le domaine de l’offshoring technologique au Maroc, avec une forte composante en Analytics, Machine Learning et Data, Aishore propose des centres d’excellence à forte valeur ajoutée. Notre démarche d’externalisation intelligente automatisera proactivement les tâches routinières et proposera de l’IA afin de gagner en qualité et en efficacité.</p><p>Aishore croit fermement en le potentiel du Maroc à se positionner sur les métiers à forte valeur, et réunit une communauté de passionnés de technologie, engagés pour le développement du pays.</p>",HR TECH
TALENTECH SOLUTIONS,Casablanca,TECHNOLOGIE WEB / MOBILE,https://www.talentech-solutions.com,0606669922,KARIM BANAOUI,banaoui.karim@talentech.solutions,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So000002ixcnIAA,"<p><span style=""font-size: 14px;"">TALENTECH SOLUTIONS a développé une solution B to C qui vise à aider les chercheurs d&#39;emploi à rédiger leur CV grâce à l&#39;IA et à optimiser leur candidature en fonction des offres d&#39;emploi.</span></p><p><span style=""font-size: 14px;"">Notre solution technologique de gestion des talents, orientée vers les utilisateurs finaux (B to C), s&#39;efforce de soutenir activement les chercheurs d&#39;emploi en leur offrant une assistance personnalisée dans la rédaction de leur CV, grâce à des outils propulsés par l&#39;intelligence artificielle. En outre, elle vise à maximiser leurs chances de réussite en optimisant leurs candidatures pour les adapter de manière précise aux exigences spécifiques des offres d&#39;emploi disponibles sur le marché.</span></p>",HR TECH
Humantal Maroc,Rabat,IA;TECHNOLOGIE WEB / MOBILE,https://humantal.ma/,+212661364635,Idriss AGOUMI,idriss.agoumi@gmail.com,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So000003f1RSIAY,"<p>Humantal Maroc révolutionne la gestion de la paie et des ressources humaines pour les sociétés marocaines. En accélérant la transition numérique dans la gestion du capital humain, notre entreprise déploie un arsenal évolutif de fonctionnalités et de services. Ce faisant, nous sommes le moteur incontestable de la modernisation des opérations de Paie et RH au Maroc.</p>",DEVELOPPEMENT INFORMATIQUE;HR TECH
ISNADWARE,Agadir,ERP / CRM;IOT,https://www.isnadware.com/,+212 603-920031,Mr : ACHRAF EL KHATTAB,,https://community.technopark.ma/sfc/servlet.shepherd/version/download/068So00000GRKxYIAX,"<p><strong>Puncto d&#39;Isnadware </strong>révolutionne<strong> la gestion RH </strong>en combinant matériel intelligent et solution cloud. </p><p>Il repose sur trois piliers : des terminaux connectés (bornes biométriques, badges RFID et application mobile) pour un suivi sécurisé en temps réel, un tableau de bord RH avec analytics prédictifs et suivi du bien-être des employés, et une interopérabilité fluide avec les logiciels de paie pour automatiser les processus RH.</p>",DEVELOPPEMENT INFORMATIQUE;HR TECH
